trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time,dif_drop_pickup,pickup_hour,pickup_month,pickup_day,weekday,weekend,rush_hour,distance_hour,squared_distance,delta_lat,delta_long,pickup_cluster,drop_cluster,haversine_distance
1,8270,10683,San Francisco,37.17093115042939,-77.58647936979322,37.1736523397383,-77.61993433646886,2.97,10.71,Completed,Wallet,2023-01-01 00:00:00,2023-01-01 00:08:54,00:08:54,0,1,1,6,1,0,0.0,8.820900000000002,0.0027211893089074124,-0.03345496667563452,8,15,2.9796002276516944
2,1860,44743,Boston,38.89812691856606,-108.58297695484846,38.93746379536704,-108.55872717079912,8.43,22.41,Completed,UPI,2023-01-01 00:01:00,2023-01-01 00:26:17,00:25:17,0,1,1,6,1,0,0.0,71.0649,0.03933687680098075,0.024249784049345635,1,7,4.851173928005677
3,6390,75839,San Francisco,38.81457056869823,-89.94260270822319,38.82170236125605,-89.8964345566054,5.46,12.91,Completed,Cash,2023-01-01 00:02:00,2023-01-01 00:18:22,00:16:22,0,1,1,6,1,0,0.0,29.8116,0.00713179255782137,0.046168151617791864,18,14,4.0776962799749965
4,6191,22189,New York,37.29590568598714,-75.32884414927358,37.30137520518609,-75.31748783882725,6.61,15.7,Completed,Wallet,2023-01-01 00:03:00,2023-01-01 00:22:49,00:19:49,0,1,1,6,1,0,0.0,43.6921,0.005469519198953776,0.011356310446331008,0,6,1.1742800790648664
5,6734,61104,Seattle,38.97239533578873,-121.482912862048,38.99208841336341,-121.46790441380276,10.5,19.15,Completed,Wallet,2023-01-01 00:04:00,2023-01-01 00:35:30,00:31:30,0,1,1,6,1,0,0.0,110.25,0.019693077574679307,0.015008448245239947,13,18,2.545195189192467
6,7265,84988,San Francisco,37.600550944815616,-106.71906865688572,37.55691580938672,-106.73095912437086,9.94,19.95,Completed,Card,2023-01-01 00:05:00,2023-01-01 00:34:49,00:29:49,0,1,1,6,1,0,0.0,98.80359999999999,-0.04363513542889308,-0.011890467485130785,14,13,4.9638606443537325
7,1466,82933,San Francisco,40.28855964243779,-82.8082193858109,40.27883011229549,-82.84463502060092,12.22,25.89,Completed,UPI,2023-01-01 00:06:00,2023-01-01 00:42:39,00:36:39,0,1,1,6,1,0,0.0,149.32840000000002,-0.009729530142301712,-0.03641563479001775,16,8,3.2729455830810714
8,5426,60182,Chicago,40.601188277022246,-78.39873323235332,40.569810860072174,-78.36818593976587,10.14,25.55,Completed,Cash,2023-01-01 00:07:00,2023-01-01 00:37:25,00:30:25,0,1,1,6,1,0,0.0,102.81960000000001,-0.03137741695007179,0.03054729258745681,15,1,4.3390570506504496
9,6578,15826,San Francisco,40.29624711069893,-87.57651655291244,40.284637585308246,-87.56478285126917,1.88,7.97,Completed,Cash,2023-01-01 00:08:00,2023-01-01 00:13:38,00:05:38,0,1,1,6,1,0,0.0,3.5343999999999998,-0.011609525390682052,0.011733701643265704,2,4,1.6300089776203126
10,9322,63503,Boston,40.71263418106593,-78.49965570372784,40.67026654819631,-78.477475359972,3.7,12.21,No-Show,UPI,2023-01-01 00:09:00,2023-01-01 00:20:06,00:11:06,0,1,1,6,1,0,0.0,13.690000000000001,-0.04236763286962031,0.022180343755834997,15,1,5.068654529048571
